Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO00061,7.20438,7.16482,7.2769,7.12526,7.35601,Y,Y,N,N,0,0,N,N,1,31
LOGZ,ECO00061,8.26219,8.23582,8.3479,8.18967,8.44679,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00063,7.42194,7.34283,7.54721,7.26371,7.65269,Y,Y,N,N,0,0,N,N,1,64
LOGZ,ECO00063,8.30834,8.23582,8.44679,8.1633,8.57865,Y,Y,N,N,0,0,N,N,1,144
LOGQ,ECO00064,7.26371,7.21756,7.38898,7.15823,7.48128,Y,Y,N,N,0,0,N,N,2,40
LOGZ,ECO00064,8.32812,8.28197,8.46657,8.22263,8.59183,Y,Y,N,N,0,0,N,N,1,147
LOGQ,ECO00067,7.44172,7.38238,7.53402,7.32964,7.6461,Y,Y,N,N,0,0,N,N,1,67
LOGZ,ECO00067,8.26219,8.20945,8.38086,8.13692,8.51931,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00068,7.43513,7.38898,7.50106,7.34283,7.56039,Y,Y,N,N,0,0,N,N,1,66
LOGZ,ECO00068,8.26219,8.21604,8.32152,8.1567,8.40723,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00069,7.41535,7.37579,7.46809,7.33623,7.52083,Y,Y,N,N,0,0,N,N,1,63
LOGZ,ECO00069,8.26219,8.21604,8.29515,8.1567,8.35449,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00070,7.25712,7.19779,7.40876,7.13845,7.54721,Y,Y,N,N,0,0,N,N,1,39
LOGZ,ECO00070,8.26219,8.1633,8.38086,8.07759,8.58524,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00071,7.43513,7.38898,7.50106,7.34942,7.5538,Y,Y,N,N,0,0,N,N,1,66
LOGZ,ECO00071,8.26219,8.22922,8.33471,8.17648,8.40723,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00073,7.51424,7.46809,7.59995,7.42194,7.69225,Y,Y,N,N,0,0,N,N,1,78
LOGZ,ECO00073,8.26219,8.21604,8.31493,8.1567,8.38745,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00077,7.0923,7.05274,7.15823,7.01978,7.22416,Y,Y,N,N,0.00774,0,N,N,1,14
LOGZ,ECO00077,8.30834,8.26878,8.42701,8.21604,8.5325,Y,Y,N,N,0,0,N,N,1,144
LOGQ,ECO00078,7.26371,7.19779,7.38238,7.13186,7.48128,Y,Y,N,N,0,0,N,N,1,40
LOGZ,ECO00078,8.3413,8.28856,8.47975,8.22263,8.60502,Y,Y,N,N,0,0,N,N,1,149
LOGQ,ECO00079,7.19119,7.13845,7.27031,7.0923,7.34942,Y,Y,N,N,0,0,N,N,1,29
LOGZ,ECO00079,8.30834,8.26219,8.40723,8.20945,8.51272,Y,Y,N,N,0,0,N,N,1,144
LOGQ,ECO00080,7.25712,7.19119,7.44172,7.11208,7.56698,Y,Y,N,N,0.00008,0,N,N,2,39
LOGZ,ECO00080,8.35449,8.29515,8.55227,8.22263,8.67754,Y,Y,N,N,0,0,N,N,1,151
LOGQ,ECO00081,7.15164,7.08571,7.28349,7.02637,7.39557,Y,Y,N,N,0.00858,0,N,N,1,23
LOGZ,ECO00081,8.5325,8.44679,8.66435,8.36767,8.75665,Y,Y,N,N,0,0,N,N,1,178
LOGQ,ECO00082,7.19779,7.14504,7.34942,7.07911,7.4615,Y,Y,N,N,0.00021,0,N,N,1,30
LOGZ,ECO00082,8.35449,8.30175,8.49953,8.24241,8.6248,Y,Y,N,N,0,0,N,N,1,151
LOGQ,ECO00083,7.23734,7.1846,7.30986,7.13845,7.37579,Y,Y,N,N,0,0,N,N,1,36
LOGZ,ECO00083,8.32812,8.28856,8.42042,8.23582,8.50612,Y,Y,N,N,0,0,N,N,1,147
LOGQ,ECO00084,7.12526,7.07911,7.20438,7.03956,7.28349,Y,Y,N,N,0.00215,0,N,N,1,19
LOGZ,ECO00084,8.40723,8.3413,8.53909,8.28197,8.63798,Y,Y,N,N,0,0,N,N,1,159
LOGQ,ECO00085,7.06593,7.03956,7.23734,7.00659,7.35601,Y,Y,N,N,0.03807,0,N,N,1,10
LOGZ,ECO00085,8.36108,8.30834,8.57205,8.22922,8.73028,Y,Y,N,N,0,0,N,N,1,152
LOGQ,ECO00086,7.1846,7.13186,7.28349,7.08571,7.38238,Y,Y,N,N,0.00007,0,N,N,1,28
LOGZ,ECO00086,8.40064,8.32812,8.54568,8.26219,8.64457,Y,Y,N,N,0,0,N,N,1,158
LOGQ,ECO00087,7.34283,7.26371,7.39557,7.21097,7.4615,Y,Y,N,N,0,0,N,N,2,52
LOGZ,ECO00087,8.26219,8.22922,8.32812,8.17648,8.40723,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00088,7.32964,7.23734,7.41535,7.1846,7.51424,Y,Y,N,N,0,0,N,N,2,50
LOGZ,ECO00088,8.26219,8.22922,8.42701,8.1567,8.57865,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00089,7.40216,7.34942,7.4615,7.29668,7.51424,Y,Y,N,N,0,0,N,N,1,61
LOGZ,ECO00089,8.40064,8.32812,8.48635,8.26878,8.55887,Y,Y,N,N,0,0,N,N,1,158
LOGQ,ECO00092,7.17141,7.12526,7.26371,7.07911,7.3692,Y,Y,N,N,0.00002,0,N,N,1,26
LOGZ,ECO00092,8.30175,8.26219,8.4402,8.20945,8.56546,Y,Y,N,N,0,0,N,N,1,143
LOGQ,ECO00093,7.32964,7.23075,7.4615,7.15164,7.58017,Y,Y,N,N,0,0,N,N,2,50
LOGZ,ECO00093,8.3413,8.28856,8.54568,8.21604,8.67754,Y,Y,N,N,0,0,N,N,1,149
LOGQ,ECO00094,7.43513,7.38238,7.49446,7.34283,7.54721,Y,Y,N,N,0,0,N,N,1,66
LOGZ,ECO00094,8.26219,8.20285,8.31493,8.14352,8.38745,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00095,7.17801,7.13186,7.30986,7.07911,7.42853,Y,Y,N,N,0.00011,0,N,N,1,27
LOGZ,ECO00095,8.28856,8.249,8.48635,8.18307,8.64457,Y,Y,N,N,0,0,N,N,1,141
LOGQ,ECO00097,7.82411,7.76477,7.89663,7.71203,7.97574,Y,Y,N,N,0,0,N,N,1,125
LOGZ,ECO00097,8.26219,8.16989,8.27537,8.09078,8.31493,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00098,7.48787,7.43513,7.54061,7.38898,7.59995,Y,Y,N,N,0,0,N,N,1,74
LOGZ,ECO00098,8.26219,8.21604,8.30834,8.1567,8.37427,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00099,7.38898,7.33623,7.4615,7.2769,7.52743,Y,Y,N,N,0,0,N,N,1,59
LOGZ,ECO00099,8.26219,8.21604,8.3479,8.1567,8.4402,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00100,7.21756,7.12526,7.42194,7.03296,7.57358,Y,Y,N,N,0.00762,0,N,N,2,33
LOGZ,ECO00100,8.5325,8.41382,8.65776,8.32152,8.75665,Y,Y,N,N,0,0.00007,N,N,1,178
LOGQ,ECO00101,7.63291,7.56039,7.69225,7.51424,7.74499,Y,Y,N,N,0,0,N,N,2,96
LOGZ,ECO00101,8.26219,8.20285,8.28197,8.14352,8.32152,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00102,7.23734,7.1846,7.37579,7.12526,7.48128,Y,Y,N,N,0,0,N,N,1,36
LOGZ,ECO00102,8.30834,8.26219,8.47975,8.20285,8.63139,Y,Y,N,N,0,0,N,N,1,144
LOGQ,ECO00103,7.80433,7.73181,7.88344,7.67247,7.98233,Y,Y,N,N,0,0,N,N,1,122
LOGZ,ECO00103,8.26219,8.05781,8.26219,7.95892,8.31493,Y,Y,N,N,0,0,N,N,1,137
