Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO07973,-0.41826,-0.48365,-0.25479,-0.58174,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO07976,7.29843,7.22700,7.44129,7.15557,7.54843,Y,Y,N,N,0.00000,0.00000,N,N,1,9
LOGZ,ECO07976,-0.54904,-0.64713,-0.38557,-0.74521,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO07977,8.15557,8.01271,8.44129,7.90557,8.65557,Y,Y,N,N,0.00000,0.01602,N,N,1,33
LOGZ,ECO07977,-0.77791,-0.87599,-0.51635,-0.94138,-0.32018,Y,Y,N,N,0.00000,0.00000,N,N,1,16
LOGQ,ECO07983,7.04843,7.01271,7.19129,-inf,7.29843,Y,Y,Y,N,0.25216,0.00000,N,N,1,2
LOGZ,ECO07983,-0.51635,-0.58174,-0.35287,-0.64713,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO07986,7.01271,7.01271,7.29843,-inf,7.47700,Y,Y,Y,N,0.26613,0.00000,N,N,1,1
LOGZ,ECO07986,-0.28748,-0.38557,-0.05862,-0.48365,0.07216,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGQ,ECO07988,7.40557,7.33414,7.61986,7.26271,7.76271,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,ECO07988,-0.61443,-0.67982,-0.38557,-0.74521,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,ECO07990,7.01271,-inf,7.19129,-inf,7.29843,Y,Y,Y,N,0.37626,0.00000,N,N,1,1
LOGZ,ECO07990,-0.41826,-0.48365,-0.25479,-0.58174,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO07993,7.04843,7.01271,7.22700,-inf,7.40557,Y,Y,Y,N,0.24715,0.00000,N,N,1,2
LOGZ,ECO07993,-0.51635,-0.58174,-0.32018,-0.67982,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO07994,7.04843,7.01271,7.33414,-inf,7.51271,Y,Y,Y,N,0.21124,0.00000,N,N,1,2
LOGZ,ECO07994,-0.45096,-0.51635,-0.18940,-0.61443,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO08001,7.08414,7.01271,7.29843,-inf,7.44129,Y,Y,N,N,0.19419,0.00000,N,N,1,3
LOGZ,ECO08001,-0.25479,-0.35287,-0.09131,-0.45096,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,1,32
LOGQ,ECO08003,7.04843,7.01271,7.26271,-inf,7.40557,Y,Y,Y,N,0.25027,0.00000,N,N,1,2
LOGZ,ECO08003,-0.32018,-0.41826,-0.12401,-0.48365,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,1,30
LOGQ,ECO08004,7.15557,7.08414,7.36986,7.01271,7.51271,Y,Y,N,N,0.03688,0.00000,N,N,1,5
LOGZ,ECO08004,-0.48365,-0.54904,-0.28748,-0.64713,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO08006,6.97700,7.01271,7.47700,-inf,7.65557,N,Y,Y,N,0.16219,0.00000,N,N,2,0
LOGZ,ECO08006,0.03947,-0.35287,0.07216,-0.48365,0.17025,Y,Y,N,N,0.00000,0.00054,N,N,2,41
LOGQ,ECO08008,7.33414,7.08414,7.51271,-inf,7.65557,Y,Y,N,N,0.10721,0.00000,N,N,2,10
LOGZ,ECO08008,0.07216,-0.25479,0.10486,-0.38557,0.20294,Y,Y,N,N,0.00000,0.00131,N,N,1,42
LOGQ,ECO08010,7.22700,7.08414,7.54843,-inf,7.76271,Y,Y,N,N,0.08167,0.00000,N,N,1,7
LOGZ,ECO08010,0.26833,0.00677,0.26833,-0.25479,inf,Y,Y,N,Y,0.00000,0.29239,N,N,1,48
LOGQ,ECO08011,7.08414,7.01271,7.26271,-inf,7.36986,Y,Y,N,N,0.20694,0.00000,N,N,1,3
LOGZ,ECO08011,-0.38557,-0.48365,-0.22209,-0.54904,-0.09131,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO08013,6.97700,7.01271,7.29843,-inf,7.47700,N,Y,Y,N,0.24027,0.00000,N,N,1,0
LOGZ,ECO08013,0.03947,-0.28748,0.10486,-0.41826,0.17025,Y,Y,N,N,0.00000,0.00096,N,N,1,41
LOGQ,ECO08024,6.97700,7.01271,7.36986,-inf,7.54843,N,Y,Y,N,0.23757,0.00000,N,N,1,0
LOGZ,ECO08024,-0.35287,-0.45096,-0.05862,-0.54904,0.07216,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,ECO08026,7.01271,-inf,7.15557,-inf,7.29843,Y,Y,Y,N,0.44027,0.00000,N,N,1,1
