Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO11484,7.22700,7.08414,7.47700,-inf,7.69129,Y,Y,N,N,0.09957,0.00000,N,N,2,7
LOGZ,ECO11484,0.03947,-0.12401,0.13755,-0.35287,0.20294,Y,Y,N,N,0.00000,0.00428,N,N,1,41
LOGQ,ECO11489,7.26271,7.08414,7.44129,-inf,7.58414,Y,Y,N,N,0.07661,0.00000,N,N,2,8
LOGZ,ECO11489,0.07216,-0.09131,0.13755,-0.28748,0.17025,Y,Y,N,N,0.00000,0.00039,N,N,1,42
LOGQ,ECO11491,7.40557,7.19129,7.51271,7.01271,7.65557,Y,Y,N,N,0.02787,0.00000,N,N,1,12
LOGZ,ECO11491,0.17025,0.07216,0.23564,-0.02592,0.26833,Y,Y,N,N,0.00000,0.04630,N,N,1,45
LOGQ,ECO11493,7.22700,7.04843,7.40557,-inf,7.54843,Y,Y,N,N,0.11037,0.00000,N,N,1,7
LOGZ,ECO11493,-0.09131,-0.35287,-0.05862,-0.45096,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,2,37
LOGQ,ECO11495,7.40557,7.19129,7.54843,7.04843,7.65557,Y,Y,N,N,0.02172,0.00000,N,N,1,12
LOGZ,ECO11495,0.17025,0.03947,0.20294,-0.05862,0.23564,Y,Y,N,N,0.00000,0.01741,N,N,1,45
LOGQ,ECO11497,7.65557,7.36986,7.76271,7.01271,7.86986,Y,Y,N,N,0.02554,0.00000,N,N,3,19
LOGZ,ECO11497,0.03947,-0.15670,0.10486,-0.41826,0.13755,Y,Y,N,N,0.00000,0.00000,N,N,1,41
LOGQ,ECO11500,7.08414,7.04843,7.40557,-inf,7.58414,Y,Y,N,N,0.15369,0.00000,N,N,1,3
LOGZ,ECO11500,-0.45096,-0.51635,-0.15670,-0.61443,-0.02592,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO11504,7.51271,7.40557,7.54843,7.40557,7.58414,Y,Y,N,N,0.00000,0.00000,N,N,2,15
LOGZ,ECO11504,-0.38557,-0.41826,-0.32018,-0.45096,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO11507,7.15557,7.08414,7.36986,7.01271,7.54843,Y,Y,N,N,0.04492,0.00000,N,N,1,5
LOGZ,ECO11507,-0.41826,-0.51635,-0.22209,-0.58174,-0.09131,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO11510,6.97700,7.04843,7.44129,-inf,7.58414,N,Y,Y,N,0.15397,0.00000,N,N,2,0
LOGZ,ECO11510,-0.02592,-0.32018,0.03947,-0.45096,0.10486,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGQ,ECO11513,7.26271,7.19129,7.69129,7.11986,7.86986,Y,Y,N,N,0.00059,0.00000,N,N,1,8
LOGZ,ECO11513,-0.54904,-0.61443,-0.22209,-0.67982,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO11517,7.29843,7.19129,7.40557,7.11986,7.51271,Y,Y,N,N,0.00048,0.00000,N,N,1,9
LOGZ,ECO11517,-0.32018,-0.41826,-0.22209,-0.48365,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,30
LOGQ,ECO11529,7.44129,7.36986,7.54843,7.29843,7.61986,Y,Y,N,N,0.00000,0.00000,N,N,1,13
LOGZ,ECO11529,-0.32018,-0.38557,-0.25479,-0.45096,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,30
