Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO11447,7.01271,7.04843,7.79843,-inf,8.22700,N,Y,Y,N,0.12351,0.00061,N,N,2,1
LOGZ,ECO11447,-0.45096,-0.48365,0.13755,-0.58174,inf,Y,Y,N,N,0.00000,0.06239,N,N,3,26
AGNFRAC,ECO11449,0.02041,0.06122,0.55102,-inf,0.87755,N,Y,Y,N,0.09612,0.00696,N,N,1,1
LOGQ,ECO11449,7.19129,7.08414,7.40557,7.01271,7.72700,Y,Y,N,N,0.03975,0.00006,N,N,1,6
LOGZ,ECO11449,-0.67982,-0.74521,-0.51635,-0.81060,-0.22209,Y,Y,N,N,0.00000,0.00144,N,N,3,19
AGNFRAC,ECO11450,0.00000,0.02041,0.22449,-inf,0.38776,N,Y,Y,N,0.23609,0.00015,N,N,1,0
LOGQ,ECO11450,7.11986,7.01271,7.36986,-inf,7.61986,Y,Y,N,N,0.16320,0.00000,N,N,1,4
LOGZ,ECO11450,-0.02592,-0.12401,0.20294,-0.25479,inf,Y,Y,N,N,0.00000,0.08396,N,N,1,39
AGNFRAC,ECO11451,0.61224,0.48980,0.81633,0.36735,0.95918,Y,Y,N,N,0.00000,0.01794,N,N,1,30
LOGQ,ECO11451,7.36986,7.19129,7.54843,7.04843,7.72700,Y,Y,N,N,0.01918,0.00000,N,N,1,11
LOGZ,ECO11451,0.30103,0.07216,inf,-0.02592,inf,Y,Y,N,Y,0.00000,0.37497,N,N,1,49
AGNFRAC,ECO11455,0.00000,-inf,0.20408,-inf,0.40816,Y,Y,Y,N,0.33298,0.00028,N,N,1,0
LOGQ,ECO11455,6.97700,7.04843,7.58414,-inf,7.90557,N,Y,Y,N,0.12171,0.00003,N,N,2,0
LOGZ,ECO11455,0.07216,-0.32018,0.20294,-0.48365,inf,Y,Y,N,N,0.00000,0.09768,N,N,3,42
AGNFRAC,ECO11457,0.00000,0.02041,0.32653,-inf,0.65306,N,Y,Y,N,0.19689,0.00138,N,N,1,0
LOGQ,ECO11457,7.08414,7.01271,7.36986,-inf,7.72700,Y,Y,N,N,0.19462,0.00002,N,N,1,3
LOGZ,ECO11457,-0.51635,-0.58174,-0.32018,-0.64713,0.00677,Y,Y,N,N,0.00000,0.00401,N,N,1,24
AGNFRAC,ECO11465,0.22449,0.12245,0.46939,0.04082,0.75510,Y,Y,N,N,0.01951,0.00238,N,N,1,11
LOGQ,ECO11465,6.97700,7.01271,7.26271,-inf,7.47700,N,Y,Y,N,0.31134,0.00000,N,N,1,0
LOGZ,ECO11465,-0.22209,-0.28748,0.03947,-0.38557,0.23564,Y,Y,N,N,0.00000,0.02118,N,N,1,33
AGNFRAC,ECO11468,0.00000,-inf,0.18367,-inf,0.40816,Y,Y,Y,N,0.36073,0.00036,N,N,1,0
