Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO02018,7.38029,7.32268,7.49552,7.27227,7.63235,Y,Y,N,N,0.00000,0.00000,N,N,1,56
LOGZ,ECO02018,8.19737,8.10507,8.31604,8.03914,8.44790,Y,Y,N,N,0.00000,0.00000,N,N,1,112
LOGQ,ECO02019,7.25066,7.17865,7.35869,7.12823,7.48112,Y,Y,N,N,0.00000,0.00000,N,N,2,38
LOGZ,ECO02019,8.26330,8.21055,8.41493,8.13144,8.52042,Y,Y,N,N,0.00000,0.00000,N,N,1,122
LOGQ,ECO02020,7.48832,7.41630,7.69716,7.33708,7.98523,Y,Y,N,N,0.00000,0.00000,N,N,1,71
LOGZ,ECO02020,8.10507,8.04573,8.29626,7.96662,8.52701,Y,Y,N,N,0.00000,0.00000,N,N,2,98
LOGQ,ECO02021,7.27947,7.21465,7.42350,7.14984,7.56753,Y,Y,N,N,0.00000,0.00000,N,N,1,42
LOGZ,ECO02021,8.31604,8.23693,8.42812,8.17100,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,130
LOGQ,ECO02022,7.38029,7.31548,7.53153,7.25066,7.69716,Y,Y,N,N,0.00000,0.00000,N,N,1,56
LOGZ,ECO02022,7.96003,7.90728,8.10507,7.83476,8.26989,Y,Y,N,N,0.00000,0.00000,N,N,2,76
LOGQ,ECO02023,7.04902,7.04181,7.74758,6.98420,8.46054,Y,Y,N,N,0.02966,0.00111,N,N,1,10
LOGZ,ECO02023,8.29626,8.21715,8.81050,8.11825,8.96873,Y,Y,N,N,0.00000,0.00007,N,N,3,127
LOGQ,ECO02024,7.38749,7.32988,7.51712,7.27947,7.66116,Y,Y,N,N,0.00000,0.00000,N,N,1,57
LOGZ,ECO02024,8.23693,8.13803,8.34900,8.05892,8.47427,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,ECO02025,7.14264,7.09223,7.34428,7.03461,7.57474,Y,Y,N,N,0.00095,0.00000,N,N,1,23
LOGZ,ECO02025,8.28307,8.21715,8.39515,8.15781,8.63909,Y,Y,N,N,0.00000,0.00000,N,N,2,125
LOGQ,ECO02026,7.10663,7.07782,7.59634,7.01301,7.81239,Y,Y,N,N,0.00405,0.00000,N,N,2,18
LOGZ,ECO02026,8.25670,8.19737,8.69183,8.13803,8.89621,Y,Y,N,N,0.00000,0.00000,N,N,3,121
LOGQ,ECO02027,7.05622,7.02741,7.35869,6.98420,7.78358,Y,Y,N,N,0.02934,0.00000,N,N,1,11
LOGZ,ECO02027,8.25011,8.17100,8.42152,8.09848,8.88302,Y,Y,N,N,0.00000,0.00000,N,N,3,120
LOGQ,ECO02028,7.45231,7.39470,7.62515,7.32988,7.82679,Y,Y,N,N,0.00000,0.00000,N,N,1,66
LOGZ,ECO02028,8.17100,8.09848,8.32263,8.02595,8.48086,Y,Y,N,N,0.00000,0.00000,N,N,1,108
LOGQ,ECO02029,7.69716,7.63235,7.85560,7.55313,8.02124,Y,Y,N,N,0.00000,0.00000,N,N,1,100
LOGZ,ECO02029,8.13144,8.06551,8.28967,7.99299,8.42812,Y,Y,N,N,0.00000,0.00000,N,N,1,102
LOGQ,ECO02030,7.15704,7.10663,7.37309,7.04902,7.56033,Y,Y,N,N,0.00039,0.00000,N,N,1,25
LOGZ,ECO02030,8.33582,8.25670,8.47427,8.18418,8.65887,Y,Y,N,N,0.00000,0.00000,N,N,1,133
LOGQ,ECO02031,7.14264,7.09223,7.30828,7.03461,7.55313,Y,Y,N,N,0.00111,0.00000,N,N,1,23
LOGZ,ECO02031,8.26989,8.19737,8.38856,8.13144,8.61931,Y,Y,N,N,0.00000,0.00000,N,N,1,123
LOGQ,ECO02032,7.06342,7.03461,7.25066,6.99140,7.48832,Y,Y,N,N,0.02208,0.00000,N,N,1,12
LOGZ,ECO02032,8.30285,8.23693,8.40834,8.17100,8.66546,Y,Y,N,N,0.00000,0.00000,N,N,2,128
LOGQ,ECO02033,7.25066,7.17865,7.38749,7.11383,7.58914,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGZ,ECO02033,8.18418,8.11166,8.31604,8.03914,8.50064,Y,Y,N,N,0.00000,0.00000,N,N,1,110
