Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oiii4959,ECO00018,Y,0.59966,0.53790,1.19645,11.61639
oiii5007,ECO00018,Y,2.36281,1.60484,11.17869,34.84705
oi6300,ECO00018,Y,0.11713,0.04579,2.37463,3.89879
nii6548,ECO00018,Y,0.08165,0.08962,-0.79682,8.16290
halpha,ECO00018,Y,2.86000,2.80522,1.04998,54.82197
nii6584,ECO00018,Y,0.24584,0.26417,-0.60763,8.14872
sii6717,ECO00018,Y,0.47386,0.35959,3.53085,14.64194
sii6731,ECO00018,Y,0.29745,0.27368,0.53934,6.74951
hbeta,ECO00019,Y,1.00000,1.00000,0.00000,7.20136
oiii4959,ECO00019,Y,0.21558,0.52390,-2.37088,1.65771
oiii5007,ECO00019,Y,2.22457,1.56309,4.29074,14.42978
oi6300,ECO00019,Y,-0.07626,0.05561,-1.29118,-0.74667
nii6548,ECO00019,Y,0.15444,0.13455,0.72094,5.59714
halpha,ECO00019,Y,2.86000,2.79943,0.51602,24.36722
nii6584,ECO00019,Y,0.46236,0.39662,0.78994,5.55548
sii6717,ECO00019,Y,0.47752,0.46353,0.15755,5.37862
sii6731,ECO00019,Y,0.39858,0.35238,0.43687,3.76921
hbeta,ECO00020,Y,1.00000,1.00000,0.00000,23.79091
oiii4959,ECO00020,Y,0.53269,0.44562,2.20836,13.51096
oiii5007,ECO00020,Y,1.60300,1.32953,4.74720,27.82686
oi6300,ECO00020,Y,0.05594,0.03420,0.82016,2.11031
nii6548,ECO00020,Y,0.03534,0.04375,-1.20990,5.08601
halpha,ECO00020,Y,2.86000,2.82088,0.86577,63.29888
nii6584,ECO00020,Y,0.10671,0.12898,-1.06241,5.09080
sii6717,ECO00020,Y,0.38550,0.24001,5.67508,15.03716
sii6731,ECO00020,Y,0.21267,0.18296,0.81471,5.83213
hbeta,ECO00021,Y,1.00000,1.00000,0.00000,5.08571
oiii4959,ECO00021,Y,0.71100,0.73242,-0.11915,3.95410
oiii5007,ECO00021,Y,1.25699,2.18527,-5.22979,7.08171
