Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO05173,-0.05862,-0.25479,0.03947,-0.35287,0.13755,Y,Y,N,N,0.00000,0.00006,N,N,1,38
LOGQ,ECO05175,7.15557,7.04843,7.36986,-inf,7.51271,Y,Y,N,N,0.14520,0.00000,N,N,2,5
LOGZ,ECO05175,-0.05862,-0.15670,0.07216,-0.22209,0.17025,Y,Y,N,N,0.00000,0.00250,N,N,1,38
LOGQ,ECO05180,6.97700,7.01271,7.29843,-inf,7.44129,N,Y,Y,N,0.27867,0.00000,N,N,1,0
LOGZ,ECO05180,-0.25479,-0.32018,0.03947,-0.41826,0.10486,Y,Y,N,N,0.00000,0.00000,N,N,2,32
LOGQ,ECO05189,7.26271,7.19129,7.44129,7.11986,7.58414,Y,Y,N,N,0.00025,0.00000,N,N,1,8
LOGZ,ECO05189,-0.45096,-0.51635,-0.28748,-0.58174,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO05191,7.44129,7.08414,7.54843,-inf,7.65557,Y,Y,N,N,0.06990,0.00000,N,N,2,13
LOGZ,ECO05191,0.00677,-0.32018,0.03947,-0.45096,0.13755,Y,Y,N,N,0.00000,0.00000,N,N,2,40
LOGQ,ECO05193,7.08414,7.01271,7.19129,-inf,7.33414,Y,Y,N,N,0.22729,0.00000,N,N,1,3
LOGZ,ECO05193,-0.38557,-0.45096,-0.25479,-0.51635,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO05194,7.08414,7.04843,7.33414,-inf,7.54843,Y,Y,N,N,0.15372,0.00000,N,N,1,3
LOGZ,ECO05194,-0.35287,-0.41826,-0.15670,-0.51635,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,ECO05199,7.22700,7.08414,7.47700,7.01271,7.61986,Y,Y,N,N,0.04776,0.00000,N,N,1,7
