Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO00141,-0.67982,-0.74521,-0.54904,-0.81060,-0.41826,Y,Y,N,N,0.00000,0.00010,N,N,2,19
AGNFRAC,ECO00142,0.59184,0.28571,0.85714,0.06122,0.97959,Y,Y,N,N,0.01448,0.04107,N,N,1,29
LOGQ,ECO00142,7.22697,7.11983,7.40554,7.04840,7.61983,Y,Y,N,N,0.01239,0.00002,N,N,1,7
LOGZ,ECO00142,-0.74521,-0.81060,-0.58174,-0.87599,-0.45096,Y,Y,N,N,0.00000,0.00007,N,N,2,17
AGNFRAC,ECO00145,1.00000,0.38776,0.91837,0.12245,inf,N,Y,N,Y,0.00652,0.07226,N,N,1,49
LOGQ,ECO00145,7.01268,-inf,7.19126,-inf,7.36983,Y,Y,Y,N,0.36499,0.00000,N,N,1,1
LOGZ,ECO00145,-0.90869,-0.97408,-0.77791,-1.07216,-0.64713,Y,Y,N,N,0.00001,0.00000,N,N,2,12
AGNFRAC,ECO00161,0.81633,0.24490,0.87755,0.02041,inf,Y,Y,N,N,0.02605,0.05041,N,N,2,40
LOGQ,ECO00161,6.97697,-inf,7.11983,-inf,7.26268,Y,Y,Y,N,0.66985,0.00000,Y,N,1,0
LOGZ,ECO00161,-0.58174,-0.64713,-0.38557,-0.74521,-0.22209,Y,Y,N,N,0.00000,0.00040,N,N,2,22
AGNFRAC,ECO00169,0.00000,0.08163,0.69388,-inf,0.93878,N,Y,Y,N,0.06545,0.01610,N,N,1,0
LOGQ,ECO00169,6.97697,-inf,7.19126,-inf,7.36983,Y,Y,Y,N,0.47515,0.00002,N,N,1,0
LOGZ,ECO00169,-0.61443,-0.67982,-0.45096,-0.74521,-0.28748,Y,Y,N,N,0.00000,0.00041,N,N,2,21
AGNFRAC,ECO00176,0.00000,0.08163,0.63265,-inf,0.91837,N,Y,Y,N,0.07293,0.01127,N,N,1,0
LOGQ,ECO00176,6.97697,-inf,7.15554,-inf,7.33411,Y,Y,Y,N,0.54966,0.00001,Y,N,1,0
LOGZ,ECO00176,-0.67982,-0.77791,-0.58174,-0.84330,-0.45096,Y,Y,N,N,0.00000,0.00008,N,N,2,19
AGNFRAC,ECO00185,0.14286,0.10204,0.69388,-inf,0.93878,Y,Y,N,N,0.06119,0.01551,N,N,1,7
LOGQ,ECO00185,7.22697,7.11983,7.40554,7.04840,7.69126,Y,Y,N,N,0.01046,0.00023,N,N,1,7
LOGZ,ECO00185,-0.74521,-0.81060,-0.61443,-0.87599,-0.45096,Y,Y,N,N,0.00000,0.00026,N,N,2,17
AGNFRAC,ECO00190,0.30612,0.14286,0.75510,0.02041,0.95918,Y,Y,N,N,0.03824,0.02022,N,N,1,15
LOGQ,ECO00190,7.11983,7.04840,7.29840,-inf,7.51268,Y,Y,N,N,0.11275,0.00001,N,N,1,4
LOGZ,ECO00190,-0.71252,-0.77791,-0.58174,-0.84330,-0.45096,Y,Y,N,N,0.00000,0.00009,N,N,2,18
AGNFRAC,ECO00194,0.00000,0.06122,0.55102,-inf,0.87755,N,Y,Y,N,0.09476,0.00690,N,N,1,0
LOGQ,ECO00194,7.72697,7.61983,8.11983,7.51268,8.51268,Y,Y,N,N,0.00000,0.00662,N,N,1,21
LOGZ,ECO00194,-0.84330,-0.90869,-0.61443,-0.97408,-0.41826,Y,Y,N,N,0.00000,0.00000,N,N,2,14
AGNFRAC,ECO00200,0.14286,0.10204,0.67347,-inf,0.93878,Y,Y,N,N,0.06229,0.01387,N,N,1,7
LOGQ,ECO00200,7.36983,7.26268,7.58411,7.19126,7.90554,Y,Y,N,N,0.00006,0.00043,N,N,1,11
LOGZ,ECO00200,-0.81060,-0.87599,-0.64713,-0.94138,-0.48365,Y,Y,N,N,0.00000,0.00006,N,N,2,15
AGNFRAC,ECO00201,0.00000,0.08163,0.61224,-inf,0.91837,N,Y,Y,N,0.07980,0.01001,N,N,1,0
LOGQ,ECO00201,7.01268,-inf,7.19126,-inf,7.40554,Y,Y,Y,N,0.43540,0.00002,N,N,1,1
LOGZ,ECO00201,-0.64713,-0.71252,-0.51635,-0.77791,-0.38557,Y,Y,N,N,0.00000,0.00030,N,N,2,20
AGNFRAC,ECO00210,0.12245,0.10204,0.69388,-inf,0.93878,Y,Y,N,N,0.05909,0.01489,N,N,2,6
