Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO00083,8.51382,8.42812,8.6325,8.349,8.7182,Y,Y,N,N,0,0,N,N,1,160
LOGQ,ECO00084,7.09223,7.03461,7.22906,6.9914,7.35149,Y,Y,N,N,0.02009,0,N,N,1,16
LOGZ,ECO00084,8.50064,8.42812,8.6259,8.3556,8.73139,Y,Y,N,N,0,0,N,N,1,158
LOGQ,ECO00085,7.35149,7.07062,7.46671,6.9842,7.61795,Y,Y,N,N,0.02659,0,N,N,2,52
LOGZ,ECO00085,8.85006,8.49405,8.86984,8.36878,8.93577,Y,Y,N,N,0,0,N,N,2,211
LOGQ,ECO00086,7.15704,7.09223,7.31548,7.02741,7.44511,Y,Y,N,N,0.00205,0,N,N,1,25
LOGZ,ECO00086,8.4479,8.37537,8.59294,8.30285,8.7182,Y,Y,N,N,0,0,N,N,1,150
LOGQ,ECO00087,7.25786,7.18585,7.35149,7.12823,7.44511,Y,Y,N,N,0,0,N,N,1,39
LOGZ,ECO00087,8.349,8.2567,8.42812,8.19078,8.52701,Y,Y,N,N,0,0,N,N,1,135
LOGQ,ECO00088,7.21465,7.14984,7.38749,7.08502,7.57474,Y,Y,N,N,0,0,N,N,1,33
LOGZ,ECO00088,8.28307,8.22374,8.46767,8.15122,8.65887,Y,Y,N,N,0,0,N,N,1,125
LOGQ,ECO00089,7.32988,7.27227,7.4163,7.20745,7.50992,Y,Y,N,N,0,0,N,N,1,49
LOGZ,ECO00089,8.45449,8.38197,8.5402,8.32922,8.61931,Y,Y,N,N,0,0,N,N,1,151
LOGQ,ECO00092,7.10663,7.05622,7.24346,7.00581,7.36589,Y,Y,N,N,0.00579,0,N,N,1,18
LOGZ,ECO00092,8.38197,8.32263,8.51382,8.2567,8.6259,Y,Y,N,N,0,0,N,N,1,140
LOGQ,ECO00093,7.24346,7.19305,7.67556,7.08502,7.8628,Y,Y,N,N,0.00021,0,N,N,1,37
LOGZ,ECO00093,8.45449,8.39515,8.78413,8.29626,8.89621,Y,Y,N,N,0,0,N,N,1,151
LOGQ,ECO00094,7.4019,7.32988,7.58194,7.25786,7.71877,Y,Y,N,N,0,0,N,N,1,59
LOGZ,ECO00094,8.30285,8.23033,8.46108,8.15781,8.59294,Y,Y,N,N,0,0,N,N,1,128
LOGQ,ECO00095,7.10663,7.06342,7.33708,7.00581,7.57474,Y,Y,N,N,0.00922,0,N,N,1,18
LOGZ,ECO00095,8.33582,8.28307,8.56657,8.20396,8.79072,Y,Y,N,N,0,0,N,N,1,133
LOGQ,ECO00097,7.87721,7.76198,8.04284,7.66116,8.16527,Y,Y,N,N,0,0,N,N,1,125
LOGZ,ECO00097,8.19737,8.10507,8.34241,8.02595,8.46108,Y,Y,N,N,0,0,N,N,1,112
LOGQ,ECO00098,7.51712,7.4163,7.67556,7.32268,7.79799,Y,Y,N,N,0,0,N,N,1,75
LOGZ,ECO00098,8.38197,8.29626,8.51382,8.21715,8.61272,Y,Y,N,N,0,0,N,N,1,140
LOGQ,ECO00099,7.4235,7.29387,7.61074,7.19305,7.74758,Y,Y,N,N,0,0,N,N,1,62
LOGZ,ECO00099,8.40834,8.31604,8.57316,8.23033,8.68524,Y,Y,N,N,0,0,N,N,1,144
LOGQ,ECO00100,7.31548,7.16424,7.49552,7.04181,7.66836,Y,Y,N,N,0.00304,0,N,N,1,47
LOGZ,ECO00100,8.61272,8.50723,8.75117,8.40175,8.86324,Y,Y,N,N,0,0,N,N,1,175
LOGQ,ECO00101,7.64675,7.55313,7.79079,7.46671,7.89881,Y,Y,N,N,0,0,N,N,1,93
LOGZ,ECO00101,8.30285,8.21055,8.41493,8.13803,8.52042,Y,Y,N,N,0,0,N,N,1,128
LOGQ,ECO00102,7.22186,7.13544,7.48832,7.04902,7.68276,Y,Y,N,N,0.00053,0,N,N,1,34
LOGZ,ECO00102,8.41493,8.349,8.65887,8.26989,8.81709,Y,Y,N,N,0,0,N,N,1,145
LOGQ,ECO00103,7.8412,7.74037,7.98523,7.64675,8.13647,Y,Y,N,N,0,0,N,N,1,120
LOGZ,ECO00103,7.94025,7.8941,8.10507,7.82817,8.27648,Y,Y,N,N,0,0,N,N,1,73
LOGQ,ECO00104,7.06342,7.02741,7.22186,6.9842,7.4163,Y,Y,N,N,0.02589,0,N,N,1,12
LOGZ,ECO00104,8.20396,8.13803,8.349,8.0721,8.58635,Y,Y,N,N,0,0,N,N,1,113
LOGQ,ECO00105,7.27227,7.20745,7.37309,7.14264,7.48832,Y,Y,N,N,0,0,N,N,1,41
LOGZ,ECO00105,8.23033,8.13144,8.33582,8.05892,8.45449,Y,Y,N,N,0,0,N,N,1,117
LOGQ,ECO00106,7.48832,7.44511,8.10766,7.30107,8.47494,Y,Y,N,N,0,0.00092,N,N,1,71
LOGZ,ECO00106,8.73798,8.37537,8.77754,8.23693,8.86984,Y,Y,N,N,0,0,N,N,1,194
LOGQ,ECO00107,7.17865,7.10663,7.43791,7.03461,7.67556,Y,Y,N,N,0.00189,0,N,N,1,28
LOGZ,ECO00107,8.36219,8.29626,8.60612,8.20396,8.8105,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00108,7.55313,7.47391,7.87,7.37309,8.06445,Y,Y,N,N,0,0,N,N,1,80
LOGZ,ECO00108,8.29626,8.23033,8.54679,8.13803,8.69183,Y,Y,N,N,0,0,N,N,1,127
LOGQ,ECO00109,7.25066,7.14264,7.4091,7.06342,7.60354,Y,Y,N,N,0.00057,0,N,N,2,38
LOGZ,ECO00109,8.37537,8.30945,8.55997,8.21715,8.71161,Y,Y,N,N,0,0,N,N,1,139
LOGQ,ECO00111,7.15704,7.09943,7.30107,7.04181,7.48112,Y,Y,N,N,0.00058,0,N,N,1,25
LOGZ,ECO00111,8.0787,7.99958,8.21715,7.92047,8.37537,Y,Y,N,N,0,0,N,N,1,94
LOGQ,ECO00112,7.81959,7.71157,7.96363,7.61795,8.09326,Y,Y,N,N,0,0,N,N,1,117
LOGZ,ECO00112,8.28967,8.19737,8.40175,8.11825,8.50723,Y,Y,N,N,0,0,N,N,1,126
LOGQ,ECO00113,7.24346,7.17144,7.46671,7.09943,7.74758,Y,Y,N,N,0,0,N,N,1,37
LOGZ,ECO00113,8.28307,8.21715,8.48086,8.14463,8.71161,Y,Y,N,N,0,0,N,N,1,125
LOGQ,ECO00114,7.24346,7.17144,7.53873,7.09223,7.80519,Y,Y,N,N,0.00004,0,N,N,1,37
LOGZ,ECO00114,8.34241,8.27648,8.60612,8.18418,8.8105,Y,Y,N,N,0,0,N,N,1,134
LOGQ,ECO00115,7.36589,7.26507,7.56753,7.14984,7.71157,Y,Y,N,N,0.00001,0,N,N,1,54
LOGZ,ECO00115,8.6259,8.52042,8.75117,8.43471,8.84347,Y,Y,N,N,0,0,N,N,1,177
LOGQ,ECO00116,7.10663,7.06342,7.21465,7.02021,7.32268,Y,Y,N,N,0.00183,0,N,N,1,18
LOGZ,ECO00116,8.349,8.25011,8.42812,8.17759,8.54679,Y,Y,N,N,0,0,N,N,1,135
LOGQ,ECO00117,7.48112,7.27947,7.63955,7.15704,7.76198,Y,Y,N,N,0,0,N,N,1,70
LOGZ,ECO00117,8.54679,8.40834,8.69842,8.30945,8.79072,Y,Y,N,N,0,0,N,N,2,165
LOGQ,ECO00118,7.26507,7.17144,7.53873,7.07782,7.834,Y,Y,N,N,0.0002,0.00001,N,N,1,40
LOGZ,ECO00118,8.48745,8.40834,8.68524,8.32263,8.84347,Y,Y,N,N,0,0,N,N,1,156
LOGQ,ECO00119,7.90601,7.61074,8.03564,7.45951,8.17967,Y,Y,N,N,0,0,N,N,1,129
LOGZ,ECO00119,8.47427,8.28307,8.6259,8.1644,8.73798,Y,Y,N,N,0,0,N,N,2,154
LOGQ,ECO00120,7.47391,7.38749,7.71157,7.29387,7.87721,Y,Y,N,N,0,0,N,N,1,69
LOGZ,ECO00120,8.32922,8.2633,8.54679,8.17759,8.68524,Y,Y,N,N,0,0,N,N,1,132
LOGQ,ECO00121,7.25066,7.17865,7.4235,7.11383,7.64675,Y,Y,N,N,0,0,N,N,1,38
LOGZ,ECO00121,8.23693,8.1644,8.41493,8.08529,8.64568,Y,Y,N,N,0,0,N,N,1,118
LOGQ,ECO00122,6.977,#NAME?,7.03461,#NAME?,7.08502,Y,Y,Y,N,0.38019,0,N,N,1,0
LOGZ,ECO00122,8.46108,8.37537,8.57316,8.30285,8.64568,Y,Y,N,N,0,0,N,N,1,152
LOGQ,ECO00124,7.71157,7.47391,7.89161,7.35149,8.05725,Y,Y,N,N,0,0,N,N,1,102
LOGZ,ECO00124,8.41493,8.2633,8.59294,8.1644,8.71161,Y,Y,N,N,0,0,N,N,2,145
LOGQ,ECO00125,7.17144,7.10663,7.35149,7.04181,7.53873,Y,Y,N,N,0.00096,0,N,N,1,27
LOGZ,ECO00125,8.3556,8.2633,8.50723,8.17759,8.68524,Y,Y,N,N,0,0,N,N,1,136
LOGQ,ECO00127,7.20745,7.12823,7.50992,7.04181,7.73317,Y,Y,N,N,0.00196,0,N,N,1,32
LOGZ,ECO00127,8.48086,8.40834,8.7182,8.32263,8.86324,Y,Y,N,N,0,0,N,N,1,155
LOGQ,ECO00130,7.37309,7.32268,7.71877,7.22906,7.91321,Y,Y,N,N,0,0,N,N,1,55
LOGZ,ECO00130,8.30285,8.25011,8.61272,8.15781,8.78413,Y,Y,N,N,0,0,N,N,1,128
LOGQ,ECO00131,7.31548,7.24346,7.66116,7.13544,7.87721,Y,Y,N,N,0.00001,0,N,N,1,47
LOGZ,ECO00131,8.48086,8.38856,8.7248,8.29626,8.85006,Y,Y,N,N,0,0,N,N,1,155
LOGQ,ECO00135,7.27947,7.20745,7.4019,7.14264,7.50992,Y,Y,N,N,0,0,N,N,1,42
LOGZ,ECO00135,8.36219,8.29626,8.48086,8.22374,8.59294,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00136,7.21465,7.14264,7.69716,7.05622,7.95642,Y,Y,N,N,0.00055,0,N,N,2,33
LOGZ,ECO00136,8.2567,8.19078,8.71161,8.10507,8.89621,Y,Y,N,N,0,0,N,N,2,121
LOGQ,ECO00137,7.63955,7.55313,7.79799,7.46671,7.92042,Y,Y,N,N,0,0,N,N,1,92
LOGZ,ECO00137,8.24352,8.1644,8.38197,8.09188,8.49405,Y,Y,N,N,0,0,N,N,1,119
LOGQ,ECO00139,7.64675,7.56033,7.79079,7.48112,7.90601,Y,Y,N,N,0,0,N,N,1,93
LOGZ,ECO00139,8.19737,8.11166,8.32922,8.03914,8.4479,Y,Y,N,N,0,0,N,N,1,112
LOGQ,ECO00140,7.27947,7.21465,7.43791,7.14264,7.61795,Y,Y,N,N,0,0,N,N,1,42
LOGZ,ECO00140,8.19737,8.11825,8.3556,8.03255,8.56657,Y,Y,N,N,0,0,N,N,1,112
LOGQ,ECO00141,7.27227,7.20025,7.36589,7.14264,7.45951,Y,Y,N,N,0,0,N,N,1,41
LOGZ,ECO00141,8.31604,8.23693,8.40834,8.171,8.51382,Y,Y,N,N,0,0,N,N,1,130
LOGQ,ECO00142,7.4091,7.35149,7.56753,7.28667,7.71877,Y,Y,N,N,0,0,N,N,1,60
LOGZ,ECO00142,8.2567,8.19078,8.39515,8.11166,8.52701,Y,Y,N,N,0,0,N,N,1,121
LOGQ,ECO00144,7.10663,7.05622,7.38029,6.9986,7.58914,Y,Y,N,N,0.01412,0,N,N,1,18
LOGZ,ECO00144,8.42152,8.349,8.68524,8.2633,8.85665,Y,Y,N,N,0,0,N,N,1,146
LOGQ,ECO00145,7.15704,7.09943,7.28667,7.04902,7.4163,Y,Y,N,N,0.00031,0,N,N,1,25
LOGZ,ECO00145,8.08529,8.01936,8.24352,7.93365,8.39515,Y,Y,N,N,0,0,N,N,1,95
LOGQ,ECO00146,7.09223,7.04181,7.30828,6.9914,7.48112,Y,Y,N,N,0.02134,0,N,N,1,16
LOGZ,ECO00146,8.46767,8.38856,8.64568,8.30945,8.78413,Y,Y,N,N,0,0,N,N,1,153
LOGQ,ECO00147,7.24346,7.15704,7.37309,7.08502,7.51712,Y,Y,N,N,0.00001,0,N,N,2,37
LOGZ,ECO00147,8.39515,8.33582,8.55997,8.2633,8.68524,Y,Y,N,N,0,0,N,N,1,142
