Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
nii6584,ECO00015,Y,0.40706,0.33366,0.99677,5.52791
sii6717,ECO00015,Y,0.69639,0.66637,0.31049,7.20165
sii6731,ECO00015,Y,0.45869,0.50606,-0.57337,5.55241
hbeta,ECO00016,Y,1.00000,1.00000,0.00000,26.93902
oiii4959,ECO00016,Y,0.55034,0.46506,2.52463,16.29290
oiii5007,ECO00016,Y,1.63677,1.38758,5.61047,36.85097
oi6300,ECO00016,Y,0.09351,0.06149,1.59274,4.65220
nii6548,ECO00016,Y,0.11636,0.10227,2.15139,17.77259
halpha,ECO00016,Y,2.86000,2.79695,1.60971,73.01830
nii6584,ECO00016,Y,0.35115,0.30148,2.51505,17.78243
sii6717,ECO00016,Y,0.56959,0.52921,1.69469,23.90640
sii6731,ECO00016,Y,0.46419,0.40200,2.03554,15.19261
hbeta,ECO00017,Y,1.00000,1.00000,0.00000,30.80033
oiii4959,ECO00017,Y,1.02101,0.78614,7.12313,30.96602
oiii5007,ECO00017,Y,2.96581,2.34550,12.47937,59.66642
oi6300,ECO00017,Y,0.07963,0.03750,2.75224,5.20220
nii6548,ECO00017,Y,0.05419,0.05267,0.28460,10.10052
halpha,ECO00017,Y,2.86000,2.79567,1.76217,78.33986
nii6584,ECO00017,Y,0.16334,0.15525,0.49992,10.09335
sii6717,ECO00017,Y,0.35414,0.31764,1.91126,18.54178
sii6731,ECO00017,Y,0.22791,0.24157,-0.59812,9.98167
hbeta,ECO00018,Y,1.00000,1.00000,0.00000,17.66217
oiii4959,ECO00018,Y,0.59966,0.55851,0.79710,11.61639
oiii5007,ECO00018,Y,2.36281,1.66636,10.27140,34.84705
oi6300,ECO00018,Y,0.11713,0.05106,2.19936,3.89879
nii6548,ECO00018,Y,0.08165,0.07305,0.85944,8.16290
halpha,ECO00018,Y,2.86000,2.79786,1.19122,54.82197
nii6584,ECO00018,Y,0.24584,0.21534,1.01086,8.14872
sii6717,ECO00018,Y,0.47386,0.42579,1.48539,14.64194
sii6731,ECO00018,Y,0.29745,0.32366,-0.59456,6.74951
hbeta,ECO00019,Y,1.00000,1.00000,0.00000,7.20136
oiii4959,ECO00019,Y,0.21558,0.52238,-2.35918,1.65771
oiii5007,ECO00019,Y,2.22457,1.55857,4.32006,14.42978
oi6300,ECO00019,Y,-0.07626,0.02892,-1.02985,-0.74667
nii6548,ECO00019,Y,0.15444,0.18228,-1.00894,5.59714
halpha,ECO00019,Y,2.86000,2.81294,0.40093,24.36722
nii6584,ECO00019,Y,0.46236,0.53734,-0.90082,5.55548
sii6717,ECO00019,Y,0.47752,0.43132,0.52038,5.37862
sii6731,ECO00019,Y,0.39858,0.32802,0.66731,3.76921
hbeta,ECO00020,Y,1.00000,1.00000,0.00000,23.79091
oiii4959,ECO00020,Y,0.53269,0.44165,2.30900,13.51096
oiii5007,ECO00020,Y,1.60300,1.31770,4.95258,27.82686
oi6300,ECO00020,Y,0.05594,0.03872,0.64958,2.11031
nii6548,ECO00020,Y,0.03534,0.03382,0.21896,5.08601
halpha,ECO00020,Y,2.86000,2.81403,1.01732,63.29888
nii6584,ECO00020,Y,0.10671,0.09970,0.33409,5.09080
sii6717,ECO00020,Y,0.38550,0.27825,4.18360,15.03716
sii6731,ECO00020,Y,0.21267,0.21193,0.02025,5.83213
hbeta,ECO00021,Y,1.00000,1.00000,0.00000,5.08571
oiii4959,ECO00021,Y,0.71100,0.41820,1.62835,3.95410
oiii5007,ECO00021,Y,1.25699,1.24773,0.05216,7.08171
oi6300,ECO00021,Y,-0.22967,0.04805,-2.41549,-1.99760
nii6548,ECO00021,Y,0.22208,0.19980,0.59258,5.90714
halpha,ECO00021,Y,2.86000,2.80404,0.36058,18.42728
nii6584,ECO00021,Y,0.66429,0.58899,0.66400,5.85813
sii6717,ECO00021,Y,0.93045,0.58510,2.75047,7.41027
sii6731,ECO00021,Y,0.42351,0.44458,-0.14814,2.97789
hbeta,ECO00022,Y,1.00000,1.00000,0.00000,15.46465
oiii4959,ECO00022,Y,0.42903,0.28775,2.27229,6.90030
oiii5007,ECO00022,Y,0.76920,0.85853,-1.39816,12.03833
oi6300,ECO00022,Y,0.13425,0.07843,1.34268,3.22882
